Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,094029,2019,01,01,27.2,1,Y
IDCJAC0010,094029,2019,01,02,25.4,1,Y
IDCJAC0010,094029,2019,01,03,26.0,1,Y
IDCJAC0010,094029,2019,01,04,34.0,1,Y
IDCJAC0010,094029,2019,01,05,24.7,1,Y
IDCJAC0010,094029,2019,01,06,25.5,1,Y
IDCJAC0010,094029,2019,01,07,22.0,1,Y
IDCJAC0010,094029,2019,01,08,22.2,1,Y
IDCJAC0010,094029,2019,01,09,20.8,1,Y
IDCJAC0010,094029,2019,01,10,23.4,1,Y
IDCJAC0010,094029,2019,01,11,30.0,1,Y
IDCJAC0010,094029,2019,01,12,23.7,1,Y
IDCJAC0010,094029,2019,01,13,23.4,1,Y
IDCJAC0010,094029,2019,01,14,25.2,1,Y
IDCJAC0010,094029,2019,01,15,28.2,1,Y
IDCJAC0010,094029,2019,01,16,20.1,1,Y
IDCJAC0010,094029,2019,01,17,25.2,1,Y
IDCJAC0010,094029,2019,01,18,23.2,1,Y
IDCJAC0010,094029,2019,01,19,24.0,1,Y
IDCJAC0010,094029,2019,01,20,29.4,1,Y
IDCJAC0010,094029,2019,01,21,31.0,1,Y
IDCJAC0010,094029,2019,01,22,23.9,1,Y
IDCJAC0010,094029,2019,01,23,17.7,1,Y
IDCJAC0010,094029,2019,01,24,26.4,1,Y
IDCJAC0010,094029,2019,01,25,37.9,1,Y
IDCJAC0010,094029,2019,01,26,21.6,1,Y
IDCJAC0010,094029,2019,01,27,25.2,1,Y
IDCJAC0010,094029,2019,01,28,31.1,1,Y
IDCJAC0010,094029,2019,01,29,32.9,1,Y
IDCJAC0010,094029,2019,01,30,31.9,1,Y
IDCJAC0010,094029,2019,01,31,19.0,1,Y
IDCJAC0010,094029,2019,02,01,19.9,1,Y
IDCJAC0010,094029,2019,02,02,27.3,1,Y
IDCJAC0010,094029,2019,02,03,27.1,1,Y
IDCJAC0010,094029,2019,02,04,22.4,1,Y
IDCJAC0010,094029,2019,02,05,18.1,1,Y
IDCJAC0010,094029,2019,02,06,23.8,1,Y
IDCJAC0010,094029,2019,02,07,29.7,1,Y
IDCJAC0010,094029,2019,02,08,23.5,1,Y
IDCJAC0010,094029,2019,02,09,17.4,1,Y
IDCJAC0010,094029,2019,02,10,25.0,1,Y
IDCJAC0010,094029,2019,02,11,26.0,1,Y
IDCJAC0010,094029,2019,02,12,17.8,1,Y
IDCJAC0010,094029,2019,02,13,19.5,1,Y
IDCJAC0010,094029,2019,02,14,19.7,1,Y
IDCJAC0010,094029,2019,02,15,21.5,1,Y
IDCJAC0010,094029,2019,02,16,25.0,1,Y
IDCJAC0010,094029,2019,02,17,27.4,1,Y
IDCJAC0010,094029,2019,02,18,24.7,1,Y
IDCJAC0010,094029,2019,02,19,21.6,1,Y
IDCJAC0010,094029,2019,02,20,22.3,1,Y
IDCJAC0010,094029,2019,02,21,19.8,1,Y
IDCJAC0010,094029,2019,02,22,22.2,1,Y
IDCJAC0010,094029,2019,02,23,16.8,1,Y
IDCJAC0010,094029,2019,02,24,24.3,1,Y
IDCJAC0010,094029,2019,02,25,35.2,1,Y
IDCJAC0010,094029,2019,02,26,19.1,1,Y
IDCJAC0010,094029,2019,02,27,19.8,1,Y
IDCJAC0010,094029,2019,02,28,23.3,1,Y
IDCJAC0010,094029,2019,03,01,28.7,1,N
IDCJAC0010,094029,2019,03,02,39.1,1,N
IDCJAC0010,094029,2019,03,03,24.9,1,N
IDCJAC0010,094029,2019,03,04,26.3,1,Y
IDCJAC0010,094029,2019,03,05,21.6,1,Y
IDCJAC0010,094029,2019,03,06,16.3,1,N
